Topic,Count,Name,Representation,Representative_Docs
57,657,57_opengl_texture_shader_vertex,"['opengl', 'texture', 'shader', 'vertex', 'glsurfaceview', 'render', 'gl', 'buffer', 'shaders', 'egl']","['use texture palette opengl e shader using opengl e shaders generate fractal worked well decided black white enough need palette pas palette texture shader get black screen shader based one texture passed nx opengl e allowing texture hence pixel color got sure relevant texture loading code vertex shader fragment shader problem hard debug inside ide made sure bitmap contains proper data opengl error logcat shader work without texture probably problem could cause', 'android opengl e texture working update got rid line line give gl_invalid_enum pixel buffer length project file httpgodofgodcoukmy_filesnightcamprjzip trying get camera data opengl e shader camera stuff appears work get texture work even try value get black screen code vertex shader code fragment shader code ignore camera stuff im using test value im using test x texture ive done everything ive seen example black make show', 'properly mix drawing call change sampler value single shader program im trying draw two object using two different texture one shader program opengl e android first object second sould fragment shader java code running samsung galaxy ace android object similar code run correctly opengl desktop computer remove second object remove first object somewhere change program object value uniform different always set correctly know draw two object different texture using one texture image unit binding appropriate texture texture image unit drawing object also want know whats going something wrong code possible opengl e draw object different texture switching texture image unit shown code impossible difference opengl possible opengl e documented anywhere cant find']"
58,625,58_glide_gif_image_load,"['glide', 'gif', 'image', 'load', 'firebase', 'storage', 'animated', 'url', 'imageview', 'loading']","['getting image firebase storage using glide trying load image firebase storage using glide getting error gradle file getting error', 'glide gif doesnt play want load gif imageview displayed doesnt start playing use code ive also tried adding case image displayed im using glide', 'glide gif image want load animated gif im layout use code nothing happens layout log cat think one class glide load']"
59,618,59_string_hashmap_regex_byte,"['string', 'hashmap', 'regex', 'byte', 'java', 'character', 'value', 'array', 'split', 'hash']","['creating hashmap arraylist two string want merge single hashmap something like right way ideally want access value v array using value k array key hashmap like name one key', 'convert hashmap object arraylist string like want get value put like tried im getting result code', 'get character string string want extract c string method doesnt work code return error dont know']"
60,504,60_python_jenkins_kivy_travis,"['python', 'jenkins', 'kivy', 'travis', 'build', 'buildozer', 'script', 'monkey', 'monkeyrunner', 'run']","['python kivy app open url native web browser try make simple app open web page inside kivy clicking button placed screen one used topic python showing web browseriframe right app reference didnt understand use code provided michael tried launch apk build buildozer didnt work app dont crash close start im wrong im sure dont use right way log python importerror module named android python python android ended', 'making android application python using buildozer kivy trying build apk using buildozer run command build apk got following error using python ubuntu already tried buildozer fails build dont know missing thanks advance', 'execute python script android app java trying find way execute python script java code android research matter thing found convert python script apk android kivy etc specifically script contains lot functionswhat want create object based python script inside java code via object call function cant convert python code java use various library exists python advice would helpful deeply appreciated following snippet python script use library charm cryptography']"
61,436,61_sort_arraylist_array_sorting,"['sort', 'arraylist', 'array', 'sorting', 'list', 'order', 'sorted', 'string', 'comparator', 'object']","['different way sorting arraylist hashmapstring string many question related suggests use compare sort data already trying struggling make work please dont report duplicate arraylist data list form key example changed wanted sort based number tried create new class suggested many post create new class compare data implement comparator method automatically implemented method suggest use two arraylist hashmap compare since one arraylist need sorted use second arraylist arraylist name want compare value next value compare arraylist next value update array list element three keyvalue pair one number want sort arraylist based number mean keyvalue pair lowest number first array list', 'android sort array sort array date name', 'sort arraylist contains file path need sort array filename item different path sort array based file name']"
62,402,62_parcelable_object_parcel_class,"['parcelable', 'object', 'parcel', 'class', 'serializable', 'pas', 'arraylist', 'implement', 'bundle', 'array']","['android context parcelable class following class implementing parcelable get error', 'use parcelable android im used develop io never need make model parcelable concept clear class game like want start activity pas game object activity intent turned cant pas custom object default need parcelable ive added get warning custom arraylist _questlist parcelable game quest abstract class cant implement question need implement parcelable add every custom object want pas even another custom object cant imagine dont something easier android pas custom object array list custom object', 'android class parcelable arraylist android project class class getting xml parsing making object passing another activity im choosing parcelable parcelable good choice everything correctly im familiar really parcelable arraylist another class made within class properly pas arraylist object parcel extending parcelable stuff thanks help']"
63,397,63_smack_chat_xmpp_message,"['smack', 'chat', 'xmpp', 'message', 'asmack', 'quickblox', 'orgmelegrammessenger', 'openfire', 'aart', 'server']","['show chat history asmack android developing android chat client app im using asmack xmpp implementation able make connection xmpp server able make send chat message need show chat history specific user app tried retrieve using following code didnt work way asmack', 'get chat history xmpp server smack library want get chat history one one chat group chat research came know message archive management provide example get older message android client want get older message chat history server dont know pull older message xmpp server many question asked didnt get proper solution done till connection sending message user anyone help get history chat xmpp server', 'know typing status xmpp openfire using smack developing chat application using openfire xmpp server text chat two user want know typing status one typing message created class confuse work know need packet listener unable find packet please one suggest work also difference smack asmack thank']"
64,308,64_tensorflow_cocosdx_model_tflite,"['tensorflow', 'cocosdx', 'model', 'tflite', 'cocosd', 'graph', 'pb', 'trained', 'bazel', 'game']","['work tensorflow android platform google made tensorflow open source developer way using android link tensorflow would love direction work api', 'load custom tensorflow graph demo android application im new tensorflow im following tutorial youtube im trying train graph tensorflow deep learning method using retrainpy file ihave result file one label graph im trying replace two file one tensorflow demo application android didnt work read bit tensorflow website found complex beginner anyone explain problem please', 'convert tensorflow estimator model tensorflow lite following code produce regular tensorflow model try convert tensorflow lite doesnt work followed following documentation httpswwwtensorfloworgtutorialsestimatorlinear httpswwwtensorfloworgliteguideget_started error message extract documentation tensorflow lite converter tensorflow lite converter tool available python api convert trained tensorflow model tensorflow lite format also introduce optimization covered section optimize model following example show tensorflow savedmodel converted tensorflow lite format import tensorflow tf converter tflitetfliteconverterfrom_saved_modelsaved_model_dir tflite_model converterconvert openconverted_modeltflite wbwritetflite_model']"
65,288,65_fps_slow_time_game,"['fps', 'slow', 'time', 'game', 'frame', 'hardware', 'acceleration', 'take', 'lag', 'performance']","['htc desire specific opengl e frame rate cant get right trying get quite simple opengl e program run smooth solid fps couple device get stuck htc desire phone quick snappy powerful overall breeze use however cant seem display anything fullscreen fps opengl getting stuck long time app decided make test app code right sample code documentation simple initialization code glsurfaceview three version ondrawframe dead simple one empty one contains glclear one contains enough state draw fullscreen quad trace time view glsurfaceview program cant explain time get case ondrawframe function always finish m often ondrawframe get called m dropping frame rate way fps le get around fps empty ondrawframe glclear quad code run fps htc magic samsung galaxy sharp iso sony experia x cap solid fps screen much complicated scene solid fps htc magic underpowered compared desire dont nexus one handy test sure except buffer swapping block couple millisecond jump frame time trying find phone outside ondrawframe handler tried use debugstartmethodtracing way get trace reflect actual time phone spends loop end ondrawframe use startmethodtracing save current time systemclockuptimemillis variable start next one loge time difference since function last exited stopmethodtracing get called arrange stopping get trace iteration m pause time scale resulting trace m time system spending m outside program tried lot thing enumerating egl configs try one see changed anything switched render dirty scheme requesting redraw frame avail whatever expected gap m swap buffer take m around half time matter seems like device waiting two screen refreshes p device show application around cpu system_server course also tried obvious killing process rebooting device always get exact result problem canvas drawing anyone know desire afaict desire behaves like reference test code look like', 'fps problem android small problem implementation android im rendering stuff opengl e frame update date decided put maximum fps avoid useless computation thing whatever whatever number frame per second put dont see difference even put fps here bit code piece code doesnt seem slow execution suggestion case anyone doubt x fps compute millisecond_per_frame solved okay solved problem want thread sleep specific amount millisecond use threadsleepmillis function affect thread running see big difference put fps versus fps thanks everyone took look question', 'writing real time opengles game android question optimizing timing game way use update anything game safe cpu expensive game item moving square vertex come vertex fps drop fps fps testing galaxy phone way game fps fps good update game fps dont need handle lagg lower fps slow object run speed time best way phisyx stupp ondrawframe start thread made mathematics faster better']"
66,272,66_delete_row_item_listview,"['delete', 'row', 'item', 'listview', 'table', 'sqlite', 'database', 'remove', 'deleting', 'list']","['remove item listview android want delete item listview code listview delete selected item', 'delete sqlite database android want delete sqlite database device trying delete getting delete see old record database trying delete like constant databasehelper also tried delete table getting delete issue anyone help please thank', 'android delete custom listview item button click custom list two two textviews delete button want delete listview item click delete button tried answer delete item custom listview remove selected item listview remove listview item android luck adapter class edit error log']"
67,215,67_aws_cognito_amazon_bucket,"['aws', 'cognito', 'amazon', 'bucket', 'upload', 'kindle', 'pool', 'identity', 'sdk', 'token']","['aws cognito get user information id way get information user aws cognito pool android logged knowing id tried code however work username currently logged', 'aws cognito facebook login android im really confused facebook login work aws cognito android able hook aws cognito facebook log fine aws cognito guide give line code couple question put line code set cognito user equal login facebook user basically whats working example hope guy help', 'getting ssl exception trying upload aws get error try upload picture android app first time im working aws create account bucket cognito identity pool still get error']"
68,203,68_float_decimal_double_math,"['float', 'decimal', 'double', 'math', 'formula', 'equation', 'number', 'mathematical', 'matlab', 'round']","['round decimal number android possible duplicate double value round java getting float number input want round digit decimal point ie example get input want', 'need round float two decimal place java possible duplicate round number n decimal place java difficulty rounding float two decimal place tried method seen including simply using matter keep getting unusual number list float processing first list displayed use f float get exact number know something wrong sure want number format first number etc', 'whats best practice round float decimal im using eclipse android sdk need round float value decimal usually use next trick using math library feel best way library type operation']"
69,188,69_song_album_spotify_music,"['song', 'album', 'spotify', 'music', 'artist', 'playlist', 'fm', 'genre', 'art', 'radio']","['access name artist album name music stored phone much like music app want access name song name file artist album example want populate listview name song phone', 'updating song detail android ive developing music library app come across issue updating song detail let say example artist artist album album album b change album name value song album album b seems create another album name show app artist album album album b album b im hoping achieve change album name b song recognized part album b artist still album album album b method updating song detail tried adding getting albumid elsewhere luck thanks', 'get song album android getting album detail want get song album query song specific album ive used code get album detail please anybody help thanks']"
70,169,70_excel_csv_poi_file,"['excel', 'csv', 'poi', 'file', 'xlsx', 'apache', 'docx', 'read', 'xl', 'sheet']","['create write excel file xlsx library java developer ton method work android started working library like opencsv unfortunately excel known issue opening csv file tried use apache poi definitely many method jexcelapi work old binary xl file docxj many jar based jaxb included android question create simple excel file xlsx format android without exceeding k method', 'file excel apache poi cant open m excel corrupt dont know file write using poi cant opened m excel file still readable poi cell value changed error file code thanks help', 'edit csv file excel without reformatting android im trying make simple android app basically import csv insert customised array list far able read csv file updated csv file contenti found update csv file excel change formate csv file code reading csv file resolved problem thank']"
71,139,71_resource_id_drawable_image,"['resource', 'id', 'drawable', 'image', 'name', 'string', 'imageview', 'dynamically', 'get', 'integer']","['get image resource name get imageview resource name set dynamically image adapter code', 'get resource id known resource name want access resource like string drawable name int id method would use', 'get resource id image know name get resource id image know name android']"
72,138,72_renderscript_gpu_allocation_script,"['renderscript', 'gpu', 'allocation', 'script', 'opencl', 'kernel', 'support', 'cpu', 'rsforeach', 'performance']","['use renderscript support library gradle possible use support renderscript library gradle include project', 'renderscript slow ok two implimentations image saturation filter one java one renderscript actually renderscript slower nexus device java implementation renderscript implementation java part renderscript script thought renderscript much faster java use core cpu native code may even gpu core android', 'exchange data renderscript android framework new renderscript trying add two array element using renderscript able pas value renderscript android method coming back android framework renderscript suggested use use way coming back android framework']"
73,125,73_random_number_generate_randomly,"['random', 'number', 'generate', 'randomly', 'shuffle', 'color', 'array', 'seed', 'button', 'string']","['generate random number libgdx dont know cant seem see random number generation work libgdx good example used find either wondering random number systemout bonus random new number every second', 'set different random number button button array able generate random number set button thats intend really want set random number button eg instead inside four button may button instead manually assigning random button could button here code also anyone know stop single number outputted twice example random number set one anyone know make possible number anything range apart', 'random number java draw number java android use random function']"
74,115,74_jsoup_html_element_parse,"['jsoup', 'html', 'element', 'parse', 'extract', 'table', 'tag', 'website', 'url', 'parsing']","['get image url using jsoup get url image src within description tag example using jsoup library code', 'jsoup select text including html tag use jsoup select code tag look like problem jsoup selects text like want simply sort tag like important displaying android textview later jsoup doesnt miss tag text', 'get img src jsoup html get jsoup code working']"
75,64,75_couchdb_couchbase_replication_mongodb,"['couchdb', 'couchbase', 'replication', 'mongodb', 'sync', 'document', 'couch', 'server', 'gateway', 'lite']","['sync android application couchbase server struggling differentiate different couch technology ive flipflopping using couchdb using couchbase server android game im developing lack documentation frustrating understanding technology couchdb nosql database development last year communicated using restful api abandoned chief developer favor working couchbase server couchbase server enterprise solution large database lowlatency paramount keep hot data memory using memcached data persisted couchdb database couchbase mobile mobile implementation couchdb legacy touchdb mobile implementation couchdb ektorp framework allows developer talk sync couchdb instance java whats missing list framework talk couchbase server android eventually io framework exist', 'confused couchdb couchbase im investigating couchdb couchbase looking db solution web application eventually able make native androidios app well understand couchdbcouchbase excel able use db offline synchronize soon connection restored understand couchdb couchbase distinct product different organization couchdb apache couchbase couchbase great response explaining difference couchbase couchbaseliteandroid similar io native embedded db mobile apps sync couchbase server get lost try find couchdb equivalent everything point touchdb say longer actively developed instead point couchbaseliteandroid project superceeded couchbaselistandroidios sync couchdb couchbase according wiki indicates sync couchdb secondary backend receives lower priority andor bug fix embeddedmobile version couchdb used androidios', 'confused use couchdb android want get couchdb running backend mobile app replacing sqlite incredibly confused newcomer technology addition similar sounding product released couchbase last yearcouchbase couchbase single server membase couchbase mobile seem droppingcombining single project couchbase server actually membase couchdb top creator couchdb longer going working couchdb yet seems active community around couchdb know understand couchbase company longer provides distribution couchdb understand couchbase server new focus couchbase company really couchdb compatible couchdb implement http api couchdb us using binary protocol evolved membase recent information couchdb mobile seems point couchbase mobile question boil still possible use couchdb android device specifically couchdb couchbase server apis compatible still possible source code sample apps sorry question get confusing honest hard time wading vast collection seemingly contradictory post online want run couchdb android']"
76,45,76_switch_statement_case_ifelse,"['switch', 'statement', 'case', 'ifelse', 'loop', 'expression', 'switchcase', 'constant', 'condition', 'else']","['switch statement string argument android would like use switch statement java also allows however change java compiler project break either go back use way use switch string android development', 'switch case work android max integer recently trouble switch case statement android therefore written following example print target sdk min sdk executed android android running switch case statement normal java project java print would expected known problem rely switch case statement work using different number', 'switch statement using string type im trying switch string type value made static however cant figure put switch statement previously using else statement due number item want switch doesnt work else using switch im trying use something im missing']"
77,41,77_observer_contentobserver_content_onchange,"['observer', 'contentobserver', 'content', 'onchange', 'uri', 'provider', 'notified', 'notify', 'notifychange', 'contentsms']","['getting changed uri contentobserver onchange older version api possible duplicate get uri inserted row content observer using contentobserver listen change content provider however wondering way get changed uri onchange method called instead search query inside callback order find changed seem possible api level write api compliant application', 'android persistent contentobserver content observer persistent android create content observer activity observer continue run remove observer basically creating service sm receive send post sm web service check message phone content observer tied activity life create contentobserver always receive notification contentsms', 'contentobserver onchange repeat multiple time im trying query data calllog insert db ive created contentobserver inner class service inside onchange method call method go specified uri query data changed let say received call observer notified method go call log content provider query insert inserting two three time register code service ive tried everything unregistering observer etc nothing']"
78,39,78_loader_loadermanager_onloadfinished_data,"['loader', 'loadermanager', 'onloadfinished', 'data', 'query', 'fragment', 'oncreateloader', 'loadercallbacksonloadfinished', 'two', 'called']","['loader loadermanager determine current loader active running query loadermanager see loader currently running', 'multiple loader loadermanager getting right loader two loader one populate bind returned data another populate make sure correct loader load situation getting error first loader case doesnt seem created loading return column found error accessing second loader doesnt call column method set adapter list view create different bind data resetting loader', 'loader onloadfinished called one loader used activity im able start loader onloadfinished called update data call loader see called trail seems stop dont receive callback recreate activity aka orientation change relaunch behave way im using supportv loader loader manager based commonswares loader loader used update found loadermanager source look call isnt called data reference']"
79,12,79_gamepad_joystick_controller_guitar,"['gamepad', 'joystick', 'controller', 'guitar', 'xbox', 'dpad', 'xinput', 'gear', 'support', 'gamepads']","['emulating gamepad gear vr ive received gear vr last week found better app oculus home require gamepad ive crazy idea trying use one four xbox controller connect pc send command gear vr wifi fake gamepad im far real programmer coding experience come teaching work unity ive progress albeit hacky one wrote script unity read input gamepad send via wireless abd terminal app using code im able move around nonvr apps system menu using gamepad fine reason none keyevents work inside gearvr exception ive found far keyevent simulates back button know code pretty horrible ill try rewrite properly get basic working im pretty stuck anyone idea solve could pretty useful solution people gearvr dont want replace current gamepad overpriced le comfortable one', 'android enumerating button gamepad android device gamepad connected totally standard xbox controller need support variety well gamepad showing inputdevice analogue ax button need able query android find button gamepad support anyone know know system information write commandline app open query button using ioctl get nice list supported button kernel cant android application dont permission access input device directly look like possible get inputdevices keycharactermap object query look like android attached default qwerty keyboard keymap gamepad rather constructing one actually match gamepad support happily tell gamepad q key doesnt doesnt button_x key receiving key event thats helping way', 'gamepad support android trying add gamepad support game cant find anywhere get motion event gamepads joystick something like never seems get called anything testing xoom jellybean gamepad work navigating around menu go reading axis data gamepad']"
80,10,80_csrf_django_cookie_csrftoken,"['csrf', 'django', 'cookie', 'csrftoken', 'post', 'csrfexempt', 'request', 'token', 'server', 'cooky']","['android sending post request django server csrf failing would like android app able send information django server made android app send post request mysiteupload page djangos view page would work based post data problem response server give post request complains csrf verication failed looking problem seems might get csrf token server first post token unsure edit found knock crsf verification view using view decorator csrf_exempt sure best solution android code view code handling upload', 'unable retrieve csrf cookie set django view via android frontend using ion koush get cookie url endpont django web application code worked perfectly automatically stopped detecting cookie didnt get fixed even ensure_csrf_cookie decorator added django view supposed send csrf cookie case skipping question would csrf cooky disappear whats reliable way ensure cookie retrieval cookie retreival method appropriate best alternative get csrf token request authentication p dont want use apache httpclient class longer supported', 'use django authenticationdjangocontribauth android app using django backend android app handling post request using csrfexempt annotation view wasnt able deal csrf verification sending post request androidvolley library use djangocontribauth login logout method session arent working sending post request android tried enabling cooky request android also didnt workenabling cooky also solve csrf verification failed issuealso tried taking csrf token get request django djangomiddlewarecsrf get_token passing csrf token headersxcsrftokenin post request also didnt work code used enable cooky android dont know use django script without using csrfexempt android use django login android']"
